Type,Lmin,Lmax,au,bu,cu,du,al,bl,cl,dl,Propulsion
Deriveurs et quillards monocoques non habitables,2.5,24.0,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Deriveurs multicoques non habitables,2.5,24.0,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables monocoques L<9m,2.5,8.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables monocoques 9m<L<12m,9.0,11.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables monocoques 12m<L<15m,12.0,14.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables monocoques L>15m,15.0,23.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiless habitables multicoques L<9m,2.5,8.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables multicoques 9m<L<12m,9.0,11.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables multicoques 12m<L<15m,12.0,14.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Voiles habitables multicoques L>15m,15.0,23.999,-3.176297e-12,18.53555,3.551632,96590.21,239.0889,18.29524,4.224649,41249.55,Sailing
Bateaux a moteur non habitables 2.5m<L<6m,2.5,5.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Bateaux a moteur non habitables L>6m,6.0,23.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Pneumatiques et semi-rigides L>2.5m,2.5,23.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Bateaux a moteurs habitables L<6m,2.5,5.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Bateaux a moteurs habitables 6m<L<9m,6.0,8.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Bateaux a moteurs habitables 9m<L<12m,9.0,11.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Bateaux a moteurs habitables 12m<L<15m,12.0,14.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Bateaux a moteurs habitables L>15m,15.0,23.999,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,591627300,Motor
Pneumatiques et semi-rigides L<2.5m,1.000,2.499,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,59162730,Motor
Prames et annexes L< 2.5m,1.000,2.499,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor
Autres embarcations et bateaux de loisirs,1.000,2.499,-87.06987,25.87432,2.669005,175498.8,50.84285,1147.626,3.031149,5916273000,Motor