Procédé de stratification,Produit,Taux de Taux de fibre en volume φ
Stratification au contact,Mat de verre\r «CSM»\r,0.167
Stratification au contact,Roving tissé,0.300
Stratification au contact,Rovimat,0.246
Stratification au contact,Double biais ±45\r «DBx»,0.319
Stratification au contact,Quadriaxial\r0/45/90/_45\r «Qx»,0.319
Stratification au contact,Bidirectionnel 0/90°\r «BD+»,0.319
Stratification au contact,Unidirectionnel\r«UD»,0.364
Infusion,Mat de verre\r «CSM»\r,0.21
Infusion,Roving tissé,0.42
Infusion,Unidirectionnel\r«UD»,0.45
Infusion,Double biais ±45\r «DBx»,0.45
Infusion,Quadriaxial\r0/45/90/_45\r «Qx»,0.45
Infusion,Bidirectionnel 0/90°\r «BD+»,0.45
Préimprégné sous vide,Unidirectionnel\r«UD»,0.530
Préimprégné sous vide,Double biais ±45\r «DBx»,0.530
Préimprégné sous vide,Quadriaxial\r0/45/90/_45\r «Qx»,0.530
Préimprégné sous vide,Bidirectionnel 0/90°\r «BD+»,0.530    
Préimprégné autoclave,Unidirectionnel\r«UD»,0.530
Préimprégné autoclave,Double biais ±45\r «DBx»,0.530
Préimprégné autoclave,Quadriaxial\r0/45/90/_45\r «Qx»,0.530
Préimprégné autoclave,Bidirectionnel 0/90°\r «BD+»,0.530