name,1stcornerX,1stcornerY,2ndcornerX,2ndcornerY
monohull,560,1070,743,1092
multihull,560,1048,743,1070
displacement,560,1024,743,1046
planning,560,1000,743,1022
ksls,560,977,743,999
kslsup,560,954,743,976
steel,560,931,743,953
aluminium,560,908,743,930
wood,560,885,743,907
frp,560,862,743,884
lh,560,816,743,838
lwl,560,793,743,815
bh,560,770,743,792
bwl,560,747,743,769
bc,560,724,743,746
mldc,560,701,743,723
v,560,678,743,700
tc,560,653,743,777
beta04,560,630,743,754
gz60max,560,607,743,731
catA,659,561,743,583
catB,659,538,743,560
catC,659,512,743,537
catD,659,489,743,514
recrecharter,659,443,743,468
workboatlight,659,420,743,445
workboatheavy,659,397,743,422
tested,659,353,743,376
high,659,330,743,353
low,659,307,743,330